0.071 0 0.5 0 0 0 0 1
0.072 0 0.5 0 0 0 0 1
0.073 0 0.5 0 0 0 0 1
0.074 0 0.5 0 0 0 0 1
0.075 0 0.5 0 0 0 0 1
0.076 0 0.5 0 0 0 0 1
0.077 0 0.5 0 0 0 0 1
0.078 0 0.5 0 0 0 0 1
0.079 0 0.5 0 0 0 0 1
0.08 0 0.5 0 0 0 0 1
0.081 0 0.5 0 0 0 0 1
0.082 0 0.5 0 0 0 0 1
0.083 0 0.5 0 0 0 0 1
0.084 0 0.5 0 0 0 0 1
0.085 0 0.5 0 0 0 0 1
0.086 0 0.5 0 0 0 0 1
0.087 0 0.5 0 0 0 0 1
0.088 0 0.5 0 0 0 0 1
0.089 0 0.5 0 0 0 0 1
0.09 0 0.5 0 0 0 0 1
0.091 0 0.5 0 0 0 0 1
0.092 0 0.5 0 0 0 0 1
0.093 0 0.5 0 0 0 0 1
0.094 0 0.5 0 0 0 0 1
0.095 0 0.5 0 0 0 0 1
0.096 0 0.5 0 0 0 0 1
0.097 0 0.5 0 0 0 0 1
0.098 0 0.5 0 0 0 0 1
0.099 0 0.5 0 0 0 0 1
0.1 0 0.5 0 0 0 0 1
0.101 0 0.5 0 0 0 0 1
0.102 0 0.5 0 0 0 0 1
0.103 0 0.5 0 0 0 0 1
0.104 0 0.5 0 0 0 0 1
0.105 0 0.5 0 0 0 0 1
0.106 0 0.5 0 0 0 0 1
0.107 0 0.5 0 0 0 0 1
0.108 0 0.5 0 0 0 0 1
0.109 0 0.5 0 0 0 0 1
0.11 0 0.5 0 0 0 0 1
0.111 0 0.5 0 0 0 0 1
0.112 0 0.5 0 0 0 0 1
0.113 0 0.5 0 0 0 0 1
0.114 0 0.5 0 0 0 0 1
0.115 0 0.5 0 0 0 0 1
0.116 0 0.5 0 0 0 0 1
0.117 0 0.5 0 0 0 0 1
0.118 0 0.5 0 0 0 0 1
0.119 0 0.5 0 0 0 0 1
0.12 0 0.5 0 0 0 0 1
0.121 0 0.5 0 0 0 0 1
0.122 0 0.5 0 0 0 0 1
0.123 0 0.5 0 0 0 0 1
0.124 0 0.5 0 0 0 0 1
0.125 0 0.5 0 0 0 0 1
0.126 0 0.5 0 0 0 0 1
0.127 0 0.5 0 0 0 0 1
0.128 0 0.5 0 0 0 0 1
0.129 0 0.5 0 0 0 0 1
0.13 0 0.5 0 0 0 0 1
0.131 0 0.5 0 0 0 0 1
0.132 0 0.5 0 0 0 0 1
0.133 0 0.5 0 0 0 0 1
0.134 0 0.5 0 0 0 0 1
0.135 0 0.5 0 0 0 0 1
0.136 0 0.5 0 0 0 0 1
0.137 0 0.5 0 0 0 0 1
0.138 0 0.5 0 0 0 0 1
0.139 0 0.5 0 0 0 0 1
0.14 0 0.5 0 0 0 0 1
0.141 0 0.5 0 0 0 0 1
0.142 0 0.5 0 0 0 0 1
0.143 0 0.5 0 0 0 0 1
0.144 0 0.5 0 0 0 0 1
0.145 0 0.5 0 0 0 0 1
0.146 0 0.5 0 0 0 0 1
0.147 0 0.5 0 0 0 0 1
0.148 0 0.5 0 0 0 0 1
0.149 0 0.5 0 0 0 0 1
0.15 0 0.5 0 0 0 0 1
0.151 0 0.5 0 0 0 0 1
0.152 0 0.5 0 0 0 0 1
0.153 0 0.5 0 0 0 0 1
0.154 0 0.5 0 0 0 0 1
0.155 0 0.5 0 0 0 0 1
0.156 0 0.5 0 0 0 0 1
0.157 0 0.5 0 0 0 0 1
0.158 0 0.5 0 0 0 0 1
0.159 0 0.5 0 0 0 0 1
0.16 0 0.5 0 0 0 0 1
0.161 0 0.5 0 0 0 0 1
0.162 0 0.5 0 0 0 0 1
0.163 0 0.5 0 0 0 0 1
0.164 0 0.5 0 0 0 0 1
0.165 0 0.5 0 0 0 0 1
0.166 0 0.5 0 0 0 0 1
0.167 0 0.5 0 0 0 0 1
0.168 0 0.5 0 0 0 0 1
0.169 0 0.5 0 0 0 0 1
0.17 0 0.5 0 0 0 0 1
0.171 0 0.5 0 0 0 0 1
0.172 0 0.5 0 0 0 0 1
0.173 0 0.5 0 0 0 0 1
0.174 0 0.5 0 0 0 0 1
0.175 0 0.5 0 0 0 0 1
0.176 0 0.5 0 0 0 0 1
0.177 0 0.5 0 0 0 0 1
0.178 0 0.5 0 0 0 0 1
0.179 0 0.5 0 0 0 0 1
0.18 0 0.5 0 0 0 0 1
0.181 0 0.5 0 0 0 0 1
0.182 0 0.5 0 0 0 0 1
0.183 0 0.5 0 0 0 0 1
0.184 0 0.5 0 0 0 0 1
0.185 0 0.5 0 0 0 0 1
0.186 0 0.5 0 0 0 0 1
0.187 0 0.5 0 0 0 0 1
0.188 0 0.5 0 0 0 0 1
0.189 0 0.5 0 0 0 0 1
0.19 0 0.5 0 0 0 0 1
0.191 0 0.5 0 0 0 0 1
0.192 0 0.5 0 0 0 0 1
0.193 0 0.5 0 0 0 0 1
0.194 0 0.5 0 0 0 0 1
0.195 0 0.5 0 0 0 0 1
0.196 0 0.5 0 0 0 0 1
0.197 0 0.5 0 0 0 0 1
0.198 0 0.5 0 0 0 0 1
0.199 0 0.5 0 0 0 0 1
0.2 0 0.5 0 0 0 0 1
0.201 0 0.5 0 0 0 0 1
0.202 0 0.5 0 0 0 0 1
0.203 0 0.5 0 0 0 0 1
0.204 0 0.5 0 0 0 0 1
0.205 0 0.5 0 0 0 0 1
0.206 0 0.5 0 0 0 0 1
0.207 0 0.5 0 0 0 0 1
0.208 0 0.5 0 0 0 0 1
0.209 0 0.5 0 0 0 0 1
0.21 0 0.5 0 0 0 0 1
0.211 0 0.5 0 0 0 0 1
0.212 0 0.5 0 0 0 0 1
0.213 0 0.5 0 0 0 0 1
0.214 0 0.5 0 0 0 0 1
0.215 0 0.5 0 0 0 0 1
0.216 0 0.5 0 0 0 0 1
0.217 0 0.5 0 0 0 0 1
0.218 0 0.5 0 0 0 0 1
0.219 0 0.5 0 0 0 0 1
0.22 0 0.5 0 0 0 0 1
0.221 0 0.5 0 0 0 0 1
0.222 0 0.5 0 0 0 0 1
0.223 0 0.5 0 0 0 0 1
0.224 0 0.5 0 0 0 0 1
0.225 0 0.5 0 0 0 0 1
0.226 0 0.5 0 0 0 0 1
0.227 0 0.5 0 0 0 0 1
0.228 0 0.5 0 0 0 0 1
0.229 0 0.5 0 0 0 0 1
0.23 0 0.5 0 0 0 0 1
0.231 0 0.5 0 0 0 0 1
0.232 0 0.5 0 0 0 0 1
0.233 0 0.5 0 0 0 0 1
0.234 0 0.5 0 0 0 0 1
0.235 0 0.5 0 0 0 0 1
0.236 0 0.5 0 0 0 0 1
0.237 0 0.5 0 0 0 0 1
0.238 0 0.5 0 0 0 0 1
0.239 0 0.5 0 0 0 0 1
0.24 0 0.5 0 0 0 0 1
0.241 0 0.5 0 0 0 0 1
0.242 0 0.5 0 0 0 0 1
0.243 0 0.5 0 0 0 0 1
0.244 0 0.5 0 0 0 0 1
0.245 0 0.5 0 0 0 0 1
0.246 0 0.5 0 0 0 0 1
0.247 0 0.5 0 0 0 0 1
0.248 0 0.5 0 0 0 0 1
0.249 0 0.5 0 0 0 0 1
0.25 0 0.5 0 0 0 0 1
0.251 0 0.5 0 0 0 0 1
0.252 0 0.5 0 0 0 0 1
0.253 0 0.5 0 0 0 0 1
0.254 0 0.5 0 0 0 0 1
0.255 0 0.5 0 0 0 0 1
0.256 0 0.5 0 0 0 0 1
0.257 0 0.5 0 0 0 0 1
0.258 0 0.5 0 0 0 0 1
0.259 0 0.5 0 0 0 0 1
0.26 0 0.5 0 0 0 0 1
0.261 0 0.5 0 0 0 0 1
0.262 0 0.5 0 0 0 0 1
0.263 0 0.5 0 0 0 0 1
0.264 0 0.5 0 0 0 0 1
0.265 0 0.5 0 0 0 0 1
0.266 0 0.5 0 0 0 0 1
0.267 0 0.5 0 0 0 0 1
0.268 0 0.5 0 0 0 0 1
0.269 0 0.5 0 0 0 0 1
0.27 0 0.5 0 0 0 0 1
0.271 0 0.5 0 0 0 0 1
0.272 0 0.5 0 0 0 0 1
0.273 0 0.5 0 0 0 0 1
0.274 0 0.5 0 0 0 0 1
0.275 0 0.5 0 0 0 0 1
0.276 0 0.5 0 0 0 0 1
0.277 0 0.5 0 0 0 0 1
0.278 0 0.5 0 0 0 0 1
0.279 0 0.5 0 0 0 0 1
0.28 0 0.5 0 0 0 0 1
0.281 0 0.5 0 0 0 0 1
0.282 0 0.5 0 0 0 0 1
0.283 0 0.5 0 0 0 0 1
0.284 0 0.5 0 0 0 0 1
0.285 0 0.5 0 0 0 0 1
0.286 0 0.5 0 0 0 0 1
0.287 0 0.5 0 0 0 0 1
0.288 0 0.5 0 0 0 0 1
0.289 0 0.5 0 0 0 0 1
0.29 0 0.5 0 0 0 0 1
0.291 0 0.5 0 0 0 0 1
0.292 0 0.5 0 0 0 0 1
0.293 0 0.5 0 0 0 0 1
0.294 0 0.5 0 0 0 0 1
0.295 0 0.5 0 0 0 0 1
0.296 0 0.5 0 0 0 0 1
0.297 0 0.5 0 0 0 0 1
0.298 0 0.5 0 0 0 0 1
0.299 0 0.5 0 0 0 0 1
0.3 0 0.5 0 0 0 0 1
0.301 0 0.5 0 0 0 0 1
0.302 0 0.5 0 0 0 0 1
0.303 0 0.5 0 0 0 0 1
0.304 0 0.5 0 0 0 0 1
0.305 0 0.5 0 0 0 0 1
0.306 0 0.5 0 0 0 0 1
0.307 0 0.5 0 0 0 0 1
0.308 0 0.5 0 0 0 0 1
0.309 0 0.5 0 0 0 0 1
0.31 0 0.5 0 0 0 0 1
0.311 0 0.5 0 0 0 0 1
0.312 0 0.5 0 0 0 0 1
0.313 0 0.5 0 0 0 0 1
0.314 0 0.5 0 0 0 0 1
0.315 0 0.5 0 0 0 0 1
0.316 0 0.5 0 0 0 0 1
0.317 0 0.5 0 0 0 0 1
0.318 0 0.5 0 0 0 0 1
0.319 0 0.5 0 0 0 0 1
0.32 0 0.5 0 0 0 0 1
0.321 0 0.5 0 0 0 0 1
0.322 0 0.5 0 0 0 0 1
0.323 0 0.5 0 0 0 0 1
0.324 0 0.5 0 0 0 0 1
0.325 0 0.5 0 0 0 0 1
0.326 0 0.5 0 0 0 0 1
0.327 0 0.5 0 0 0 0 1
0.328 0 0.5 0 0 0 0 1
0.329 0 0.5 0 0 0 0 1
0.33 0 0.5 0 0 0 0 1
0.331 0 0.5 0 0 0 0 1
0.332 0 0.5 0 0 0 0 1
0.333 0 0.5 0 0 0 0 1
0.334 0 0.5 0 0 0 0 1
0.335 0 0.5 0 0 0 0 1
0.336 0 0.5 0 0 0 0 1
0.337 0 0.5 0 0 0 0 1
0.338 0 0.5 0 0 0 0 1
0.339 0 0.5 0 0 0 0 1
0.34 0 0.5 0 0 0 0 1
0.341 0 0.5 0 0 0 0 1
0.342 0 0.5 0 0 0 0 1
0.343 0 0.5 0 0 0 0 1
0.344 0 0.5 0 0 0 0 1
0.345 0 0.5 0 0 0 0 1
0.346 0 0.5 0 0 0 0 1
0.347 0 0.5 0 0 0 0 1
0.348 0 0.5 0 0 0 0 1
0.349 0 0.5 0 0 0 0 1
0.35 0 0.5 0 0 0 0 1
0.351 0 0.5 0 0 0 0 1
0.352 0 0.5 0 0 0 0 1
0.353 0 0.5 0 0 0 0 1
0.354 0 0.5 0 0 0 0 1
0.355 0 0.5 0 0 0 0 1
0.356 0 0.5 0 0 0 0 1
0.357 0 0.5 0 0 0 0 1
0.358 0 0.5 0 0 0 0 1
0.359 0 0.5 0 0 0 0 1
0.36 0 0.5 0 0 0 0 1
0.361 0 0.5 0 0 0 0 1
0.362 0 0.5 0 0 0 0 1
0.363 0 0.5 0 0 0 0 1
0.364 0 0.5 0 0 0 0 1
0.365 0 0.5 0 0 0 0 1
0.366 0 0.5 0 0 0 0 1
0.367 0 0.5 0 0 0 0 1
0.368 0 0.5 0 0 0 0 1
0.369 0 0.5 0 0 0 0 1
0.37 0 0.5 0 0 0 0 1
0.371 0 0.5 0 0 0 0 1
0.372 0 0.5 0 0 0 0 1
0.373 0 0.5 0 0 0 0 1
0.374 0 0.5 0 0 0 0 1
0.375 0 0.5 0 0 0 0 1
0.376 0 0.5 0 0 0 0 1
0.377 0 0.5 0 0 0 0 1
0.378 0 0.5 0 0 0 0 1
0.379 0 0.5 0 0 0 0 1
0.38 0 0.5 0 0 0 0 1
0.381 0 0.5 0 0 0 0 1
0.382 0 0.5 0 0 0 0 1
0.383 0 0.5 0 0 0 0 1
0.384 0 0.5 0 0 0 0 1
0.385 0 0.5 0 0 0 0 1
0.386 0 0.5 0 0 0 0 1
0.387 0 0.5 0 0 0 0 1
0.388 0 0.5 0 0 0 0 1
0.389 0 0.5 0 0 0 0 1
0.39 0 0.5 0 0 0 0 1
0.391 0 0.5 0 0 0 0 1
0.392 0 0.5 0 0 0 0 1
0.393 0 0.5 0 0 0 0 1
0.394 0 0.5 0 0 0 0 1
0.395 0 0.5 0 0 0 0 1
0.396 0 0.5 0 0 0 0 1
0.397 0 0.5 0 0 0 0 1
0.398 0 0.5 0 0 0 0 1
0.399 0 0.5 0 0 0 0 1
0.4 0 0.5 0 0 0 0 1
0.401 0 0.5 0 0 0 0 1
0.402 0 0.5 0 0 0 0 1
0.403 0 0.5 0 0 0 0 1
0.404 0 0.5 0 0 0 0 1
0.405 0 0.5 0 0 0 0 1
0.406 0 0.5 0 0 0 0 1
0.407 0 0.5 0 0 0 0 1
0.408 0 0.5 0 0 0 0 1
0.409 0 0.5 0 0 0 0 1
0.41 0 0.5 0 0 0 0 1
0.411 0 0.5 0 0 0 0 1
0.412 0 0.5 0 0 0 0 1
0.413 0 0.5 0 0 0 0 1
0.414 0 0.5 0 0 0 0 1
0.415 0 0.5 0 0 0 0 1
0.416 0 0.5 0 0 0 0 1
0.417 0 0.5 0 0 0 0 1
0.418 0 0.5 0 0 0 0 1
0.419 0 0.5 0 0 0 0 1
0.42 0 0.5 0 0 0 0 1
0.421 0 0.5 0 0 0 0 1
0.422 0 0.5 0 0 0 0 1
0.423 0 0.5 0 0 0 0 1
0.424 0 0.5 0 0 0 0 1
0.425 0 0.5 0 0 0 0 1
0.426 0 0.5 0 0 0 0 1
0.427 0 0.5 0 0 0 0 1
0.428 0 0.5 0 0 0 0 1
0.429 0 0.5 0 0 0 0 1
0.43 0 0.5 0 0 0 0 1
0.431 0 0.5 0 0 0 0 1
0.432 0 0.5 0 0 0 0 1
0.433 0 0.5 0 0 0 0 1
0.434 0 0.5 0 0 0 0 1
0.435 0 0.5 0 0 0 0 1
0.436 0 0.5 0 0 0 0 1
0.437 0 0.5 0 0 0 0 1
0.438 0 0.5 0 0 0 0 1
0.439 0 0.5 0 0 0 0 1
0.44 0 0.5 0 0 0 0 1
0.441 0 0.5 0 0 0 0 1
0.442 0 0.5 0 0 0 0 1
0.443 0 0.5 0 0 0 0 1
0.444 0 0.5 0 0 0 0 1
0.445 0 0.5 0 0 0 0 1
0.446 0 0.5 0 0 0 0 1
0.447 0 0.5 0 0 0 0 1
0.448 0 0.5 0 0 0 0 1
0.449 0 0.5 0 0 0 0 1
0.45 0 0.5 0 0 0 0 1
0.451 0 0.5 0 0 0 0 1
0.452 0 0.5 0 0 0 0 1
0.453 0 0.5 0 0 0 0 1
0.454 0 0.5 0 0 0 0 1
0.455 0 0.5 0 0 0 0 1
0.456 0 0.5 0 0 0 0 1
0.457 0 0.5 0 0 0 0 1
0.458 0 0.5 0 0 0 0 1
0.459 0 0.5 0 0 0 0 1
0.46 0 0.5 0 0 0 0 1
0.461 0 0.5 0 0 0 0 1
0.462 0 0.5 0 0 0 0 1
0.463 0 0.5 0 0 0 0 1
0.464 0 0.5 0 0 0 0 1
0.465 0 0.5 0 0 0 0 1
0.466 0 0.5 0 0 0 0 1
0.467 0 0.5 0 0 0 0 1
0.468 0 0.5 0 0 0 0 1
0.469 0 0.5 0 0 0 0 1
0.47 0 0.5 0 0 0 0 1
0.471 0 0.5 0 0 0 0 1
0.472 0 0.5 0 0 0 0 1
0.473 0 0.5 0 0 0 0 1
0.474 0 0.5 0 0 0 0 1
0.475 0 0.5 0 0 0 0 1
0.476 0 0.5 0 0 0 0 1
0.477 0 0.5 0 0 0 0 1
0.478 0 0.5 0 0 0 0 1
0.479 0 0.5 0 0 0 0 1
0.48 0 0.5 0 0 0 0 1
0.481 0 0.5 0 0 0 0 1
0.482 0 0.5 0 0 0 0 1
0.483 0 0.5 0 0 0 0 1
0.484 0 0.5 0 0 0 0 1
0.485 0 0.5 0 0 0 0 1
0.486 0 0.5 0 0 0 0 1
0.487 0 0.5 0 0 0 0 1
0.488 0 0.5 0 0 0 0 1
0.489 0 0.5 0 0 0 0 1
0.49 0 0.5 0 0 0 0 1
0.491 0 0.5 0 0 0 0 1
0.492 0 0.5 0 0 0 0 1
0.493 0 0.5 0 0 0 0 1
0.494 0 0.5 0 0 0 0 1
0.495 0 0.5 0 0 0 0 1
0.496 0 0.5 0 0 0 0 1
0.497 0 0.5 0 0 0 0 1
0.498 0 0.5 0 0 0 0 1
0.499 0 0.5 0 0 0 0 1
0.5 0 0.5 0 0 0 0 1
0.501 0 0.5 0 0 0 0 1
0.502 0 0.5 0 0 0 0 1
0.503 0 0.5 0 0 0 0 1
0.504 0 0.5 0 0 0 0 1
0.505 0 0.5 0 0 0 0 1
0.506 0 0.5 0 0 0 0 1
0.507 0 0.5 0 0 0 0 1
0.508 0 0.5 0 0 0 0 1
0.509 0 0.5 0 0 0 0 1
0.51 0 0.5 0 0 0 0 1
0.511 0 0.5 0 0 0 0 1
0.512 0 0.5 0 0 0 0 1
0.513 0 0.5 0 0 0 0 1
0.514 0 0.5 0 0 0 0 1
0.515 0 0.5 0 0 0 0 1
0.516 0 0.5 0 0 0 0 1
0.517 0 0.5 0 0 0 0 1
0.518 0 0.5 0 0 0 0 1
0.519 0 0.5 0 0 0 0 1
0.52 0 0.5 0 0 0 0 1
0.521 0 0.5 0 0 0 0 1
0.522 0 0.5 0 0 0 0 1
0.523 0 0.5 0 0 0 0 1
0.524 0 0.5 0 0 0 0 1
0.525 0 0.5 0 0 0 0 1
0.526 0 0.5 0 0 0 0 1
0.527 0 0.5 0 0 0 0 1
0.528 0 0.5 0 0 0 0 1
0.529 0 0.5 0 0 0 0 1
0.53 0 0.5 0 0 0 0 1
0.531 0 0.5 0 0 0 0 1
0.532 0 0.5 0 0 0 0 1
0.533 0 0.5 0 0 0 0 1
0.534 0 0.5 0 0 0 0 1
0.535 0 0.5 0 0 0 0 1
0.536 0 0.5 0 0 0 0 1
0.537 0 0.5 0 0 0 0 1
0.538 0 0.5 0 0 0 0 1
0.539 0 0.5 0 0 0 0 1
0.54 0 0.5 0 0 0 0 1
0.541 0 0.5 0 0 0 0 1
0.542 0 0.5 0 0 0 0 1
0.543 0 0.5 0 0 0 0 1
0.544 0 0.5 0 0 0 0 1
0.545 0 0.5 0 0 0 0 1
0.546 0 0.5 0 0 0 0 1
0.547 0 0.5 0 0 0 0 1
0.548 0 0.5 0 0 0 0 1
0.549 0 0.5 0 0 0 0 1
0.55 0 0.5 0 0 0 0 1
0.551 0 0.5 0 0 0 0 1
0.552 0 0.5 0 0 0 0 1
0.553 0 0.5 0 0 0 0 1
0.554 0 0.5 0 0 0 0 1
0.555 0 0.5 0 0 0 0 1
0.556 0 0.5 0 0 0 0 1
0.557 0 0.5 0 0 0 0 1
0.558 0 0.5 0 0 0 0 1
0.559 0 0.5 0 0 0 0 1
0.56 0 0.5 0 0 0 0 1
0.561 0 0.5 0 0 0 0 1
0.562 0 0.5 0 0 0 0 1
0.563 0 0.5 0 0 0 0 1
0.564 0 0.5 0 0 0 0 1
0.565 0 0.5 0 0 0 0 1
0.566 0 0.5 0 0 0 0 1
0.567 0 0.5 0 0 0 0 1
0.568 0 0.5 0 0 0 0 1
0.569 0 0.5 0 0 0 0 1
0.57 0 0.5 0 0 0 0 1
0.571 0 0.5 0 0 0 0 1
0.572 0 0.5 0 0 0 0 1
0.573 0 0.5 0 0 0 0 1
0.574 0 0.5 0 0 0 0 1
0.575 0 0.5 0 0 0 0 1
0.576 0 0.5 0 0 0 0 1
0.577 0 0.5 0 0 0 0 1
0.578 0 0.5 0 0 0 0 1
0.579 0 0.5 0 0 0 0 1
0.58 0 0.5 0 0 0 0 1
0.581 0 0.5 0 0 0 0 1
0.582 0 0.5 0 0 0 0 1
0.583 0 0.5 0 0 0 0 1
0.584 0 0.5 0 0 0 0 1
0.585 0 0.5 0 0 0 0 1
0.586 0 0.5 0 0 0 0 1
0.587 0 0.5 0 0 0 0 1
0.588 0 0.5 0 0 0 0 1
0.589 0 0.5 0 0 0 0 1
0.59 0 0.5 0 0 0 0 1
0.591 0 0.5 0 0 0 0 1
0.592 0 0.5 0 0 0 0 1
0.593 0 0.5 0 0 0 0 1
0.594 0 0.5 0 0 0 0 1
0.595 0 0.5 0 0 0 0 1
0.596 0 0.5 0 0 0 0 1
0.597 0 0.5 0 0 0 0 1
0.598 0 0.5 0 0 0 0 1
0.599 0 0.5 0 0 0 0 1
0.6 0 0.5 0 0 0 0 1
0.601 0 0.5 0 0 0 0 1
0.602 0 0.5 0 0 0 0 1
0.603 0 0.5 0 0 0 0 1
0.604 0 0.5 0 0 0 0 1
0.605 0 0.5 0 0 0 0 1
0.606 0 0.5 0 0 0 0 1
0.607 0 0.5 0 0 0 0 1
0.608 0 0.5 0 0 0 0 1
0.609 0 0.5 0 0 0 0 1
0.61 0 0.5 0 0 0 0 1
0.611 0 0.5 0 0 0 0 1
0.612 0 0.5 0 0 0 0 1
0.613 0 0.5 0 0 0 0 1
0.614 0 0.5 0 0 0 0 1
0.615 0 0.5 0 0 0 0 1
0.616 0 0.5 0 0 0 0 1
0.617 0 0.5 0 0 0 0 1
0.618 0 0.5 0 0 0 0 1
0.619 0 0.5 0 0 0 0 1
0.62 0 0.5 0 0 0 0 1
0.621 0 0.5 0 0 0 0 1
0.622 0 0.5 0 0 0 0 1
0.623 0 0.5 0 0 0 0 1
0.624 0 0.5 0 0 0 0 1
0.625 0 0.5 0 0 0 0 1
0.626 0 0.5 0 0 0 0 1
0.627 0 0.5 0 0 0 0 1
0.628 0 0.5 0 0 0 0 1
0.629 0 0.5 0 0 0 0 1
0.63 0 0.5 0 0 0 0 1
0.631 0 0.5 0 0 0 0 1
0.632 0 0.5 0 0 0 0 1
0.633 0 0.5 0 0 0 0 1
0.634 0 0.5 0 0 0 0 1
0.635 0 0.5 0 0 0 0 1
0.636 0 0.5 0 0 0 0 1
0.637 0 0.5 0 0 0 0 1
0.638 0 0.5 0 0 0 0 1
0.639 0 0.5 0 0 0 0 1
0.64 0 0.5 0 0 0 0 1
0.641 0 0.5 0 0 0 0 1
0.642 0 0.5 0 0 0 0 1
0.643 0 0.5 0 0 0 0 1
0.644 0 0.5 0 0 0 0 1
0.645 0 0.5 0 0 0 0 1
0.646 0 0.5 0 0 0 0 1
0.647 0 0.5 0 0 0 0 1
0.648 0 0.5 0 0 0 0 1
0.649 0 0.5 0 0 0 0 1
0.65 0 0.5 0 0 0 0 1
0.651 0 0.5 0 0 0 0 1
0.652 0 0.5 0 0 0 0 1
0.653 0 0.5 0 0 0 0 1
0.654 0 0.5 0 0 0 0 1
0.655 0 0.5 0 0 0 0 1
0.656 0 0.5 0 0 0 0 1
0.657 0 0.5 0 0 0 0 1
0.658 0 0.5 0 0 0 0 1
0.659 0 0.5 0 0 0 0 1
0.66 0 0.5 0 0 0 0 1
0.661 0 0.5 0 0 0 0 1
0.662 0 0.5 0 0 0 0 1
0.663 0 0.5 0 0 0 0 1
0.664 0 0.5 0 0 0 0 1
0.665 0 0.5 0 0 0 0 1
0.666 0 0.5 0 0 0 0 1
0.667 0 0.5 0 0 0 0 1
0.668 0 0.5 0 0 0 0 1
0.669 0 0.5 0 0 0 0 1
0.67 0 0.5 0 0 0 0 1
0.671 0 0.5 0 0 0 0 1
0.672 0 0.5 0 0 0 0 1
0.673 0 0.5 0 0 0 0 1
0.674 0 0.5 0 0 0 0 1
0.675 0 0.5 0 0 0 0 1
0.676 0 0.5 0 0 0 0 1
0.677 0 0.5 0 0 0 0 1
0.678 0 0.5 0 0 0 0 1
0.679 0 0.5 0 0 0 0 1
0.68 0 0.5 0 0 0 0 1
0.681 0 0.5 0 0 0 0 1
0.682 0 0.5 0 0 0 0 1
0.683 0 0.5 0 0 0 0 1
0.684 0 0.5 0 0 0 0 1
0.685 0 0.5 0 0 0 0 1
0.686 0 0.5 0 0 0 0 1
0.687 0 0.5 0 0 0 0 1
0.688 0 0.5 0 0 0 0 1
0.689 0 0.5 0 0 0 0 1
0.69 0 0.5 0 0 0 0 1
0.691 0 0.5 0 0 0 0 1
0.692 0 0.5 0 0 0 0 1
0.693 0 0.5 0 0 0 0 1
0.694 0 0.5 0 0 0 0 1
0.695 0 0.5 0 0 0 0 1
0.696 0 0.5 0 0 0 0 1
0.697 0 0.5 0 0 0 0 1
0.698 0 0.5 0 0 0 0 1
0.699 0 0.5 0 0 0 0 1
